,date,Occurrences,gender,domain
11,2015-12,203221,male,Fox News
0,2015-01,44047,female,Fox News
1,2015-02,52005,female,Fox News
2,2015-03,38704,female,Fox News
3,2015-04,33214,female,Fox News
4,2015-05,22228,female,Fox News
5,2015-06,19591,female,Fox News
6,2015-07,28782,female,Fox News
7,2015-08,48833,female,Fox News
8,2015-09,56396,female,Fox News
9,2015-10,37097,female,Fox News
10,2015-11,37204,female,Fox News
11,2015-12,36327,female,Fox News
0,2015-01,27882,male,BBC
1,2015-02,28901,male,BBC
2,2015-03,38810,male,BBC
3,2015-04,20665,male,BBC
4,2015-05,24617,male,BBC
5,2015-06,21465,male,BBC
6,2015-07,50888,male,BBC
7,2015-08,42927,male,BBC
8,2015-09,49731,male,BBC
9,2015-10,42702,male,BBC
10,2015-11,37171,male,BBC
11,2015-12,64324,male,BBC
0,2015-01,5654,female,BBC
1,2015-02,5916,female,BBC
2,2015-03,6474,female,BBC
3,2015-04,4505,female,BBC
4,2015-05,3164,female,BBC
5,2015-06,3570,female,BBC
6,2015-07,8854,female,BBC
7,2015-08,12057,female,BBC
8,2015-09,12334,female,BBC
9,2015-10,10131,female,BBC
10,2015-11,5954,female,BBC
11,2015-12,6194,female,BBC
0,2015-01,3835,male,NBC News
1,2015-02,7911,male,NBC News
2,2015-03,19208,male,NBC News
3,2015-04,11247,male,NBC News
4,2015-05,13559,male,NBC News
5,2015-06,26312,male,NBC News
6,2015-07,59681,male,NBC News
7,2015-08,62945,male,NBC News
8,2015-09,65248,male,NBC News
9,2015-10,50826,male,NBC News
10,2015-11,56489,male,NBC News
11,2015-12,91842,male,NBC News
0,2015-01,3390,female,NBC News
1,2015-02,14282,female,NBC News
2,2015-03,3098,female,NBC News
3,2015-04,3318,female,NBC News
4,2015-05,2923,female,NBC News
5,2015-06,7075,female,NBC News
6,2015-07,10478,female,NBC News
7,2015-08,21980,female,NBC News
8,2015-09,28097,female,NBC News
9,2015-10,14033,female,NBC News
10,2015-11,11623,female,NBC News
11,2015-12,20041,female,NBC News
0,2015-01,3826,male,TIME
1,2015-02,3205,male,TIME
2,2015-03,12950,male,TIME
3,2015-04,4545,male,TIME
4,2015-05,6963,male,TIME
5,2015-06,8181,male,TIME
6,2015-07,41979,male,TIME
7,2015-08,30870,male,TIME
8,2015-09,28230,male,TIME
9,2015-10,31291,male,TIME
10,2015-11,68811,male,TIME
11,2015-12,127096,male,TIME
0,2015-01,2221,female,TIME
1,2015-02,12381,female,TIME
2,2015-03,1219,female,TIME
3,2015-04,470,female,TIME
4,2015-05,219,female,TIME
5,2015-06,1244,female,TIME
6,2015-07,5240,female,TIME
7,2015-08,13616,female,TIME
8,2015-09,9245,female,TIME
9,2015-10,8486,female,TIME
10,2015-11,12972,female,TIME
11,2015-12,20845,female,TIME
0,2015-01,35680,male,CNBC
1,2015-02,44246,male,CNBC
2,2015-03,41189,male,CNBC
3,2015-04,19762,male,CNBC
4,2015-05,12936,male,CNBC
5,2015-06,16319,male,CNBC
6,2015-07,88900,male,CNBC
7,2015-08,99195,male,CNBC
8,2015-09,91162,male,CNBC
9,2015-10,81838,male,CNBC
10,2015-11,63060,male,CNBC
11,2015-12,93200,male,CNBC
0,2015-01,3334,female,CNBC
1,2015-02,17577,female,CNBC
2,2015-03,4636,female,CNBC
3,2015-04,2882,female,CNBC
4,2015-05,2176,female,CNBC
5,2015-06,2491,female,CNBC
6,2015-07,18037,female,CNBC
7,2015-08,17380,female,CNBC
8,2015-09,15447,female,CNBC
9,2015-10,12453,female,CNBC
10,2015-11,5241,female,CNBC
11,2015-12,11560,female,CNBC
0,2016-01,1766,male,NYTimes
1,2016-02,43625,male,NYTimes
2,2016-03,6350,male,NYTimes
3,2016-04,37477,male,NYTimes
4,2016-05,62552,male,NYTimes
5,2016-06,19815,male,NYTimes
6,2016-07,644785,male,NYTimes
7,2016-08,529652,male,NYTimes
8,2016-09,641439,male,NYTimes
9,2016-10,7042,male,NYTimes
10,2016-11,19404,male,NYTimes
11,2016-12,382420,male,NYTimes
0,2016-01,1059,female,NYTimes
1,2016-02,6182,female,NYTimes
2,2016-03,143,female,NYTimes
3,2016-04,9401,female,NYTimes
4,2016-05,12144,female,NYTimes
5,2016-06,1562,female,NYTimes
6,2016-07,131901,female,NYTimes
7,2016-08,120957,female,NYTimes
8,2016-09,127169,female,NYTimes
9,2016-10,807,female,NYTimes
10,2016-11,1131,female,NYTimes
11,2016-12,52900,female,NYTimes
0,2016-01,1580,male,CNN
1,2016-02,102689,male,CNN
2,2016-03,7694,male,CNN
3,2016-04,67721,male,CNN
4,2016-05,188555,male,CNN
5,2016-06,9524,male,CNN
6,2016-07,303475,male,CNN
7,2016-08,211349,male,CNN
8,2016-09,240551,male,CNN
9,2016-10,5966,male,CNN
10,2016-11,18768,male,CNN
11,2016-12,161465,male,CNN
0,2016-01,963,female,CNN
1,2016-02,12747,female,CNN
2,2016-03,495,female,CNN
3,2016-04,16162,female,CNN
4,2016-05,35053,female,CNN
5,2016-06,1196,female,CNN
6,2016-07,69028,female,CNN
7,2016-08,53818,female,CNN
8,2016-09,66984,female,CNN
9,2016-10,135,female,CNN
10,2016-11,2231,female,CNN
11,2016-12,28125,female,CNN
0,2016-01,2190,male,Fox News
1,2016-02,116158,male,Fox News
2,2016-03,7834,male,Fox News
3,2016-04,118440,male,Fox News
4,2016-05,248861,male,Fox News
5,2016-06,8481,male,Fox News
6,2016-07,412379,male,Fox News
7,2016-08,330392,male,Fox News
8,2016-09,382039,male,Fox News
9,2016-10,3633,male,Fox News
10,2016-11,22866,male,Fox News
11,2016-12,280931,male,Fox News
0,2016-01,609,female,Fox News
1,2016-02,19948,female,Fox News
2,2016-03,570,female,Fox News
3,2016-04,25171,female,Fox News
4,2016-05,54304,female,Fox News
5,2016-06,866,female,Fox News
6,2016-07,87811,female,Fox News
7,2016-08,72728,female,Fox News
8,2016-09,94363,female,Fox News
9,2016-10,358,female,Fox News
10,2016-11,1251,female,Fox News
11,2016-12,56615,female,Fox News
0,2016-01,380,male,BBC
1,2016-02,25098,male,BBC
2,2016-03,393,male,BBC
3,2016-04,25042,male,BBC
4,2016-05,47932,male,BBC
5,2016-06,1565,male,BBC
6,2016-07,66697,male,BBC
7,2016-08,57426,male,BBC
8,2016-09,68858,male,BBC
9,2016-10,1862,male,BBC
10,2016-11,6756,male,BBC
11,2016-12,59066,male,BBC
0,2016-01,109,female,BBC
1,2016-02,3325,female,BBC
2,2016-03,389,female,BBC
3,2016-04,8173,female,BBC
4,2016-05,8592,female,BBC
5,2016-06,345,female,BBC
6,2016-07,18961,female,BBC
7,2016-08,13887,female,BBC
8,2016-09,16649,female,BBC
9,2016-10,120,female,BBC
10,2016-11,194,female,BBC
11,2016-12,12079,female,BBC
0,2016-01,556,male,NBC News
1,2016-02,45262,male,NBC News
2,2016-03,6630,male,NBC News
3,2016-04,19321,male,NBC News
4,2016-05,24563,male,NBC News
5,2016-06,1335,male,NBC News
6,2016-07,39861,male,NBC News
7,2016-08,31424,male,NBC News
8,2016-09,86962,male,NBC News
9,2016-10,3541,male,NBC News
10,2016-11,9713,male,NBC News
11,2016-12,107931,male,NBC News
0,2016-01,488,female,NBC News
1,2016-02,6725,female,NBC News
2,2016-03,97,female,NBC News
3,2016-04,2372,female,NBC News
4,2016-05,4029,female,NBC News
5,2016-06,131,female,NBC News
6,2016-07,12279,female,NBC News
7,2016-08,10117,female,NBC News
8,2016-09,23430,female,NBC News
9,2016-10,5,female,NBC News
10,2016-11,616,female,NBC News
11,2016-12,13434,female,NBC News
0,2016-01,1599,male,TIME
1,2016-02,51669,male,TIME
2,2016-03,6675,male,TIME
3,2016-04,40532,male,TIME
4,2016-05,106857,male,TIME
5,2016-06,4528,male,TIME
6,2016-07,150658,male,TIME
7,2016-08,136360,male,TIME
8,2016-09,152253,male,TIME
9,2016-10,3734,male,TIME
10,2016-11,14658,male,TIME
11,2016-12,143364,male,TIME
0,2016-01,164,female,TIME
1,2016-02,5385,female,TIME
2,2016-04,12974,female,TIME
3,2016-05,18702,female,TIME
4,2016-06,187,female,TIME
5,2016-07,38142,female,TIME
6,2016-08,29696,female,TIME
7,2016-09,38433,female,TIME
8,2016-10,218,female,TIME
9,2016-11,2037,female,TIME
10,2016-12,21875,female,TIME
0,2016-01,698,male,CNBC
1,2016-02,38626,male,CNBC
2,2016-03,4606,male,CNBC
3,2016-04,24817,male,CNBC
4,2016-05,71230,male,CNBC
5,2016-06,4306,male,CNBC
6,2016-07,77800,male,CNBC
7,2016-08,70093,male,CNBC
8,2016-09,96080,male,CNBC
9,2016-10,282,male,CNBC
10,2016-11,2913,male,CNBC
11,2016-12,123158,male,CNBC
0,2016-01,473,female,CNBC
1,2016-02,2378,female,CNBC
2,2016-04,2890,female,CNBC
3,2016-05,8347,female,CNBC
4,2016-06,583,female,CNBC
5,2016-07,14263,female,CNBC
6,2016-08,10848,female,CNBC
7,2016-09,21283,female,CNBC
8,2016-10,4,female,CNBC
9,2016-11,687,female,CNBC
10,2016-12,14302,female,CNBC
0,2017-01,33803,male,NYTimes
1,2017-02,136497,male,NYTimes
2,2017-03,315061,male,NYTimes
3,2017-04,346611,male,NYTimes
4,2017-05,362946,male,NYTimes
5,2017-06,289488,male,NYTimes
6,2017-07,217397,male,NYTimes
7,2017-08,326212,male,NYTimes
8,2017-09,220727,male,NYTimes
9,2017-10,229264,male,NYTimes
10,2017-11,193435,male,NYTimes
11,2017-12,125298,male,NYTimes
0,2017-01,6761,female,NYTimes
1,2017-02,24941,female,NYTimes
2,2017-03,55539,female,NYTimes
3,2017-04,53638,female,NYTimes
4,2017-05,61755,female,NYTimes
5,2017-06,59670,female,NYTimes
6,2017-07,35381,female,NYTimes
7,2017-08,52170,female,NYTimes
8,2017-09,44433,female,NYTimes
9,2017-10,45593,female,NYTimes
10,2017-11,36266,female,NYTimes
11,2017-12,26642,female,NYTimes
0,2017-01,28434,male,CNN
1,2017-02,84451,male,CNN
2,2017-03,277613,male,CNN
3,2017-04,325682,male,CNN
4,2017-05,332275,male,CNN
5,2017-06,314130,male,CNN
6,2017-07,342818,male,CNN
7,2017-08,475916,male,CNN
8,2017-09,368371,male,CNN
9,2017-10,370315,male,CNN
10,2017-11,304883,male,CNN
11,2017-12,229757,male,CNN
0,2017-01,6507,female,CNN
1,2017-02,13921,female,CNN
2,2017-03,51277,female,CNN
3,2017-04,55016,female,CNN
4,2017-05,61342,female,CNN
5,2017-06,79632,female,CNN
6,2017-07,64192,female,CNN
7,2017-08,93830,female,CNN
8,2017-09,95702,female,CNN
9,2017-10,78717,female,CNN
10,2017-11,70371,female,CNN
11,2017-12,52504,female,CNN
0,2017-01,25379,male,Fox News
1,2017-02,94403,male,Fox News
2,2017-03,337187,male,Fox News
3,2017-04,559809,male,Fox News
4,2017-05,391347,male,Fox News
5,2017-06,431055,male,Fox News
6,2017-07,395979,male,Fox News
7,2017-08,657839,male,Fox News
8,2017-09,583686,male,Fox News
9,2017-10,568293,male,Fox News
10,2017-11,458767,male,Fox News
11,2017-12,287012,male,Fox News
0,2017-01,4593,female,Fox News
1,2017-02,21179,female,Fox News
2,2017-03,76521,female,Fox News
3,2017-04,86424,female,Fox News
4,2017-05,80871,female,Fox News
5,2017-06,107574,female,Fox News
6,2017-07,73642,female,Fox News
7,2017-08,92809,female,Fox News
8,2017-09,121476,female,Fox News
9,2017-10,110296,female,Fox News
10,2017-11,87988,female,Fox News
11,2017-12,61011,female,Fox News
0,2017-01,3211,male,BBC
1,2017-02,23549,male,BBC
2,2017-03,53391,male,BBC
3,2017-04,59654,male,BBC
4,2017-05,75748,male,BBC
5,2017-06,93215,male,BBC
6,2017-07,115088,male,BBC
7,2017-08,85063,male,BBC
8,2017-09,85857,male,BBC
9,2017-10,97560,male,BBC
10,2017-11,87555,male,BBC
11,2017-12,52342,male,BBC
0,2017-01,416,female,BBC
1,2017-02,4802,female,BBC
2,2017-03,14357,female,BBC
3,2017-04,12513,female,BBC
4,2017-05,16823,female,BBC
5,2017-06,25139,female,BBC
6,2017-07,15046,female,BBC
7,2017-08,15761,female,BBC
8,2017-09,24144,female,BBC
9,2017-10,19718,female,BBC
10,2017-11,19616,female,BBC
11,2017-12,12349,female,BBC
0,2017-01,22970,male,NBC News
1,2017-02,39640,male,NBC News
2,2017-03,128277,male,NBC News
3,2017-04,169750,male,NBC News
4,2017-05,155845,male,NBC News
5,2017-06,153073,male,NBC News
6,2017-07,189883,male,NBC News
7,2017-08,233219,male,NBC News
8,2017-09,191379,male,NBC News
9,2017-10,234428,male,NBC News
10,2017-11,182670,male,NBC News
11,2017-12,130140,male,NBC News
0,2017-01,3893,female,NBC News
1,2017-02,12847,female,NBC News
2,2017-03,20928,female,NBC News
3,2017-04,21375,female,NBC News
4,2017-05,35399,female,NBC News
5,2017-06,31475,female,NBC News
6,2017-07,30907,female,NBC News
7,2017-08,48424,female,NBC News
8,2017-09,35724,female,NBC News
9,2017-10,36571,female,NBC News
10,2017-11,30577,female,NBC News
11,2017-12,33296,female,NBC News
0,2017-01,10864,male,TIME
1,2017-02,17451,male,TIME
2,2017-03,179866,male,TIME
3,2017-04,288953,male,TIME
4,2017-05,269856,male,TIME
5,2017-06,242324,male,TIME
6,2017-07,296270,male,TIME
7,2017-08,375548,male,TIME
8,2017-09,359472,male,TIME
9,2017-10,343923,male,TIME
10,2017-11,336082,male,TIME
11,2017-12,225765,male,TIME
0,2017-01,4393,female,TIME
1,2017-02,5107,female,TIME
2,2017-03,44517,female,TIME
3,2017-04,38361,female,TIME
4,2017-05,40016,female,TIME
5,2017-06,65696,female,TIME
6,2017-07,50543,female,TIME
7,2017-08,85998,female,TIME
8,2017-09,71123,female,TIME
9,2017-10,72108,female,TIME
10,2017-11,58811,female,TIME
11,2017-12,51368,female,TIME
0,2017-01,12528,male,CNBC
1,2017-02,35374,male,CNBC
2,2017-03,217980,male,CNBC
3,2017-04,173739,male,CNBC
4,2017-05,223259,male,CNBC
5,2017-06,212529,male,CNBC
6,2017-07,250168,male,CNBC
7,2017-08,176109,male,CNBC
8,2017-09,221885,male,CNBC
9,2017-10,260769,male,CNBC
10,2017-11,217834,male,CNBC
11,2017-12,185804,male,CNBC
0,2017-01,4499,female,CNBC
1,2017-02,2958,female,CNBC
2,2017-03,33740,female,CNBC
3,2017-04,28917,female,CNBC
4,2017-05,36246,female,CNBC
5,2017-06,46237,female,CNBC
6,2017-07,35348,female,CNBC
7,2017-08,29106,female,CNBC
8,2017-09,37093,female,CNBC
9,2017-10,52826,female,CNBC
10,2017-11,27064,female,CNBC
11,2017-12,29206,female,CNBC
0,2018-01,153839,male,NYTimes
1,2018-02,122656,male,NYTimes
2,2018-03,153175,male,NYTimes
3,2018-04,153259,male,NYTimes
4,2018-05,131730,male,NYTimes
5,2018-06,126299,male,NYTimes
6,2018-07,114406,male,NYTimes
7,2018-08,83577,male,NYTimes
8,2018-09,119540,male,NYTimes
9,2018-10,104868,male,NYTimes
10,2018-11,84340,male,NYTimes
11,2018-12,61949,male,NYTimes
0,2018-01,38999,female,NYTimes
1,2018-02,26885,female,NYTimes
2,2018-03,37609,female,NYTimes
3,2018-04,26785,female,NYTimes
4,2018-05,34016,female,NYTimes
5,2018-06,26556,female,NYTimes
6,2018-07,14950,female,NYTimes
7,2018-08,21181,female,NYTimes
8,2018-09,32007,female,NYTimes
9,2018-10,27941,female,NYTimes
10,2018-11,23991,female,NYTimes
11,2018-12,13714,female,NYTimes
0,2018-01,252595,male,CNN
1,2018-02,220835,male,CNN
2,2018-03,196332,male,CNN
3,2018-04,234785,male,CNN
4,2018-05,186138,male,CNN
5,2018-06,184650,male,CNN
6,2018-07,162071,male,CNN
7,2018-08,125003,male,CNN
8,2018-09,176145,male,CNN
9,2018-10,158624,male,CNN
10,2018-11,133852,male,CNN
11,2018-12,119187,male,CNN
0,2018-01,71452,female,CNN
1,2018-02,49508,female,CNN
2,2018-03,54647,female,CNN
3,2018-04,50775,female,CNN
4,2018-05,44149,female,CNN
5,2018-06,41051,female,CNN
6,2018-07,30088,female,CNN
7,2018-08,28472,female,CNN
8,2018-09,53320,female,CNN
9,2018-10,51304,female,CNN
10,2018-11,36158,female,CNN
11,2018-12,25410,female,CNN
0,2018-01,310832,male,Fox News
1,2018-02,288808,male,Fox News
2,2018-03,386057,male,Fox News
3,2018-04,406766,male,Fox News
4,2018-05,333026,male,Fox News
5,2018-06,283448,male,Fox News
6,2018-07,271493,male,Fox News
7,2018-08,217073,male,Fox News
8,2018-09,263434,male,Fox News
9,2018-10,261720,male,Fox News
10,2018-11,228884,male,Fox News
11,2018-12,200750,male,Fox News
0,2018-01,73684,female,Fox News
1,2018-02,81047,female,Fox News
2,2018-03,108690,female,Fox News
3,2018-04,96669,female,Fox News
4,2018-05,71200,female,Fox News
5,2018-06,71157,female,Fox News
6,2018-07,48780,female,Fox News
7,2018-08,54956,female,Fox News
8,2018-09,68980,female,Fox News
9,2018-10,61393,female,Fox News
10,2018-11,59575,female,Fox News
11,2018-12,55865,female,Fox News
0,2018-01,46406,male,BBC
1,2018-02,41814,male,BBC
2,2018-03,80153,male,BBC
3,2018-04,69206,male,BBC
4,2018-05,82546,male,BBC
5,2018-06,80827,male,BBC
6,2018-07,65944,male,BBC
7,2018-08,64742,male,BBC
8,2018-09,80699,male,BBC
9,2018-10,65395,male,BBC
10,2018-11,69226,male,BBC
11,2018-12,48427,male,BBC
0,2018-01,15804,female,BBC
1,2018-02,10804,female,BBC
2,2018-03,21204,female,BBC
3,2018-04,21300,female,BBC
4,2018-05,17309,female,BBC
5,2018-06,18459,female,BBC
6,2018-07,12610,female,BBC
7,2018-08,12274,female,BBC
8,2018-09,18233,female,BBC
9,2018-10,16762,female,BBC
10,2018-11,19493,female,BBC
11,2018-12,11181,female,BBC
0,2018-01,175557,male,NBC News
1,2018-02,138376,male,NBC News
2,2018-03,149261,male,NBC News
3,2018-04,168780,male,NBC News
4,2018-05,170408,male,NBC News
5,2018-06,147170,male,NBC News
6,2018-07,136877,male,NBC News
7,2018-08,98675,male,NBC News
8,2018-09,128502,male,NBC News
9,2018-10,124125,male,NBC News
10,2018-11,112100,male,NBC News
11,2018-12,109700,male,NBC News
0,2018-01,37070,female,NBC News
1,2018-02,19359,female,NBC News
2,2018-03,37247,female,NBC News
3,2018-04,44071,female,NBC News
4,2018-05,40168,female,NBC News
5,2018-06,32314,female,NBC News
6,2018-07,18895,female,NBC News
7,2018-08,24143,female,NBC News
8,2018-09,32537,female,NBC News
9,2018-10,36877,female,NBC News
10,2018-11,34258,female,NBC News
11,2018-12,21900,female,NBC News
0,2018-01,259746,male,TIME
1,2018-02,226775,male,TIME
2,2018-03,279221,male,TIME
3,2018-04,290454,male,TIME
4,2018-05,146542,male,TIME
5,2018-06,23,male,TIME
6,2018-07,60,male,TIME
7,2018-08,256,male,TIME
8,2018-09,4,male,TIME
9,2018-10,331,male,TIME
10,2018-11,2034,male,TIME
11,2018-12,123,male,TIME
0,2018-01,72268,female,TIME
1,2018-02,56160,female,TIME
2,2018-03,73251,female,TIME
3,2018-04,62189,female,TIME
4,2018-05,25792,female,TIME
5,2018-06,1,female,TIME
6,2018-07,3,female,TIME
7,2018-08,1695,female,TIME
8,2018-11,21,female,TIME
9,2018-12,358,female,TIME
0,2018-01,233980,male,CNBC
1,2018-02,173715,male,CNBC
2,2018-03,180135,male,CNBC
3,2018-04,178057,male,CNBC
4,2018-05,190510,male,CNBC
5,2018-06,134091,male,CNBC
6,2018-07,131227,male,CNBC
7,2018-08,82864,male,CNBC
8,2018-09,95217,male,CNBC
9,2018-10,68355,male,CNBC
10,2018-11,68506,male,CNBC
11,2018-12,41467,male,CNBC
0,2018-01,43995,female,CNBC
1,2018-02,26046,female,CNBC
2,2018-03,35633,female,CNBC
3,2018-04,31348,female,CNBC
4,2018-05,26633,female,CNBC
5,2018-06,25943,female,CNBC
6,2018-07,17692,female,CNBC
7,2018-08,13307,female,CNBC
8,2018-09,12962,female,CNBC
9,2018-10,10212,female,CNBC
10,2018-11,18088,female,CNBC
11,2018-12,7954,female,CNBC
0,2019-01,70213,male,NYTimes
1,2019-02,62469,male,NYTimes
2,2019-03,68550,male,NYTimes
3,2019-04,52310,male,NYTimes
4,2019-05,83768,male,NYTimes
5,2019-06,71129,male,NYTimes
6,2019-07,64780,male,NYTimes
7,2019-08,57604,male,NYTimes
8,2019-09,71710,male,NYTimes
9,2019-10,85055,male,NYTimes
10,2019-11,75260,male,NYTimes
11,2019-12,61639,male,NYTimes
0,2019-01,24149,female,NYTimes
1,2019-02,23171,female,NYTimes
2,2019-03,25422,female,NYTimes
3,2019-04,13936,female,NYTimes
4,2019-05,21344,female,NYTimes
5,2019-06,19351,female,NYTimes
6,2019-07,15578,female,NYTimes
7,2019-08,14379,female,NYTimes
8,2019-09,13409,female,NYTimes
9,2019-10,18019,female,NYTimes
10,2019-11,16672,female,NYTimes
11,2019-12,19880,female,NYTimes
0,2019-01,126638,male,CNN
1,2019-02,115851,male,CNN
2,2019-03,115597,male,CNN
3,2019-04,90852,male,CNN
4,2019-05,120032,male,CNN
5,2019-06,129833,male,CNN
6,2019-07,80373,male,CNN
7,2019-08,79578,male,CNN
8,2019-09,107002,male,CNN
9,2019-10,101439,male,CNN
10,2019-11,86250,male,CNN
11,2019-12,75427,male,CNN
0,2019-01,41102,female,CNN
1,2019-02,37823,female,CNN
2,2019-03,38306,female,CNN
3,2019-04,23070,female,CNN
4,2019-05,35210,female,CNN
5,2019-06,34495,female,CNN
6,2019-07,21374,female,CNN
7,2019-08,20636,female,CNN
8,2019-09,22080,female,CNN
9,2019-10,25316,female,CNN
10,2019-11,24106,female,CNN
11,2019-12,22559,female,CNN
0,2019-01,118304,male,Fox News
1,2019-02,148466,male,Fox News
2,2019-03,155406,male,Fox News
3,2019-04,137904,male,Fox News
4,2019-05,177351,male,Fox News
5,2019-06,136829,male,Fox News
6,2019-07,89849,male,Fox News
7,2019-08,98444,male,Fox News
8,2019-09,103397,male,Fox News
9,2019-10,114761,male,Fox News
10,2019-11,104963,male,Fox News
11,2019-12,104052,male,Fox News
0,2019-01,39037,female,Fox News
1,2019-02,45698,female,Fox News
2,2019-03,52600,female,Fox News
3,2019-04,38747,female,Fox News
4,2019-05,53620,female,Fox News
5,2019-06,43895,female,Fox News
6,2019-07,26621,female,Fox News
7,2019-08,25376,female,Fox News
8,2019-09,22766,female,Fox News
9,2019-10,35500,female,Fox News
10,2019-11,31537,female,Fox News
11,2019-12,31010,female,Fox News
0,2019-01,40386,male,BBC
1,2019-02,35246,male,BBC
2,2019-03,51431,male,BBC
3,2019-04,31276,male,BBC
4,2019-05,59036,male,BBC
5,2019-06,54451,male,BBC
6,2019-07,35408,male,BBC
7,2019-08,40533,male,BBC
8,2019-09,51468,male,BBC
9,2019-10,64909,male,BBC
10,2019-11,52315,male,BBC
11,2019-12,40280,male,BBC
0,2019-01,8567,female,BBC
1,2019-02,7448,female,BBC
2,2019-03,16015,female,BBC
3,2019-04,7868,female,BBC
4,2019-05,15261,female,BBC
5,2019-06,9527,female,BBC
6,2019-07,6493,female,BBC
7,2019-08,7437,female,BBC
8,2019-09,8730,female,BBC
9,2019-10,13137,female,BBC
10,2019-11,8193,female,BBC
11,2019-12,12583,female,BBC
0,2019-01,88126,male,NBC News
1,2019-02,87207,male,NBC News
2,2019-03,89167,male,NBC News
3,2019-04,67484,male,NBC News
4,2019-05,94677,male,NBC News
5,2019-06,78832,male,NBC News
6,2019-07,64430,male,NBC News
7,2019-08,65652,male,NBC News
8,2019-09,70116,male,NBC News
9,2019-10,87345,male,NBC News
10,2019-11,68240,male,NBC News
11,2019-12,67615,male,NBC News
0,2019-01,26439,female,NBC News
1,2019-02,28369,female,NBC News
2,2019-03,28664,female,NBC News
3,2019-04,18407,female,NBC News
4,2019-05,25348,female,NBC News
5,2019-06,21477,female,NBC News
6,2019-07,14375,female,NBC News
7,2019-08,15161,female,NBC News
8,2019-09,14531,female,NBC News
9,2019-10,22856,female,NBC News
10,2019-11,15902,female,NBC News
11,2019-12,19229,female,NBC News
0,2019-01,1361,male,TIME
1,2019-02,618,male,TIME
2,2019-03,8,male,TIME
3,2019-04,370,male,TIME
4,2019-05,1367,male,TIME
5,2019-06,1052,male,TIME
6,2019-07,4143,male,TIME
7,2019-08,1983,male,TIME
8,2019-09,9115,male,TIME
9,2019-10,1151,male,TIME
10,2019-11,1212,male,TIME
11,2019-12,1485,male,TIME
0,2019-01,66,female,TIME
1,2019-02,43,female,TIME
2,2019-03,451,female,TIME
3,2019-04,111,female,TIME
4,2019-05,32,female,TIME
5,2019-06,2261,female,TIME
6,2019-07,710,female,TIME
7,2019-08,777,female,TIME
8,2019-09,1122,female,TIME
9,2019-10,775,female,TIME
10,2019-11,35,female,TIME
11,2019-12,230,female,TIME
0,2019-01,42087,male,CNBC
1,2019-02,31214,male,CNBC
2,2019-03,36511,male,CNBC
3,2019-04,17959,male,CNBC
4,2019-05,27609,male,CNBC
5,2019-06,24096,male,CNBC
6,2019-07,29388,male,CNBC
7,2019-08,17416,male,CNBC
8,2019-09,22508,male,CNBC
9,2019-10,23565,male,CNBC
10,2019-11,25347,male,CNBC
11,2019-12,20554,male,CNBC
0,2019-01,10807,female,CNBC
1,2019-02,5366,female,CNBC
2,2019-03,9626,female,CNBC
3,2019-04,5299,female,CNBC
4,2019-05,2826,female,CNBC
5,2019-06,3523,female,CNBC
6,2019-07,4319,female,CNBC
7,2019-08,2190,female,CNBC
8,2019-09,3741,female,CNBC
9,2019-10,4090,female,CNBC
10,2019-11,3980,female,CNBC
11,2019-12,5661,female,CNBC
0,2020-01,91070,male,NYTimes
1,2020-02,45803,male,NYTimes
