,date,Occurrences,gender,domain
0,2015-01,8238,male,NYTimes
1,2015-02,14383,male,NYTimes
2,2015-03,23402,male,NYTimes
3,2015-04,9026,male,NYTimes
4,2015-05,4947,male,NYTimes
5,2015-06,16453,male,NYTimes
6,2015-07,26948,male,NYTimes
7,2015-08,20926,male,NYTimes
8,2015-09,17104,male,NYTimes
9,2015-10,14747,male,NYTimes
10,2015-11,17197,male,NYTimes
11,2015-12,47068,male,NYTimes
0,2015-01,4139,female,NYTimes
1,2015-02,14400,female,NYTimes
2,2015-03,2850,female,NYTimes
3,2015-04,3361,female,NYTimes
4,2015-05,1873,female,NYTimes
5,2015-06,1930,female,NYTimes
6,2015-07,3214,female,NYTimes
7,2015-08,11273,female,NYTimes
8,2015-09,7663,female,NYTimes
9,2015-10,7544,female,NYTimes
10,2015-11,4609,female,NYTimes
11,2015-12,4471,female,NYTimes
0,2015-01,67177,male,CNN
1,2015-02,83542,male,CNN
2,2015-03,95726,male,CNN
3,2015-04,63559,male,CNN
4,2015-05,48141,male,CNN
5,2015-06,57645,male,CNN
6,2015-07,117081,male,CNN
7,2015-08,120846,male,CNN
8,2015-09,129444,male,CNN
9,2015-10,123728,male,CNN
10,2015-11,99809,male,CNN
11,2015-12,152081,male,CNN
0,2015-01,14500,female,CNN
1,2015-02,28257,female,CNN
2,2015-03,19156,female,CNN
3,2015-04,18715,female,CNN
4,2015-05,13499,female,CNN
5,2015-06,14183,female,CNN
6,2015-07,22408,female,CNN
7,2015-08,34851,female,CNN
8,2015-09,39720,female,CNN
9,2015-10,28173,female,CNN
10,2015-11,16022,female,CNN
11,2015-12,28835,female,CNN
0,2015-01,196844,male,Fox News
1,2015-02,195539,male,Fox News
2,2015-03,220130,male,Fox News
3,2015-04,161027,male,Fox News
4,2015-05,115728,male,Fox News
5,2015-06,93901,male,Fox News
6,2015-07,171701,male,Fox News
7,2015-08,229988,male,Fox News
8,2015-09,201617,male,Fox News
9,2015-10,168472,male,Fox News
10,2015-11,175355,male,Fox News
