,date,Occurrences,gender,nationality
0,2015-01,1154816,male,America
1,2015-02,1056510,male,America
2,2015-03,1321665,male,America
3,2015-04,997217,male,America
4,2015-05,705450,male,America
5,2015-06,667485,male,America
6,2015-07,1366710,male,America
7,2015-08,2011929,male,America
8,2015-09,1867922,male,America
9,2015-10,1957698,male,America
10,2015-11,1400270,male,America
11,2015-12,1812163,male,America
0,2015-01,238316,female,America
1,2015-02,237207,female,America
2,2015-03,256478,female,America
3,2015-04,215006,female,America
4,2015-05,149427,female,America
5,2015-06,151261,female,America
6,2015-07,277806,female,America
7,2015-08,402213,female,America
8,2015-09,423750,female,America
9,2015-10,406170,female,America
10,2015-11,273956,female,America
11,2015-12,340592,female,America
0,2015-01,257431,male,Britain
1,2015-02,267397,male,Britain
2,2015-03,292815,male,Britain
3,2015-04,221437,male,Britain
4,2015-05,166380,male,Britain
5,2015-06,130644,male,Britain
6,2015-07,327409,male,Britain
7,2015-08,513602,male,Britain
8,2015-09,510583,male,Britain
9,2015-10,533336,male,Britain
10,2015-11,375414,male,Britain
11,2015-12,435390,male,Britain
0,2015-01,36863,female,Britain
1,2015-02,39111,female,Britain
2,2015-03,46749,female,Britain
3,2015-04,30635,female,Britain
4,2015-05,23540,female,Britain
5,2015-06,20625,female,Britain
6,2015-07,58031,female,Britain
7,2015-08,83221,female,Britain
8,2015-09,87149,female,Britain
9,2015-10,92861,female,Britain
10,2015-11,61916,female,Britain
11,2015-12,70461,female,Britain
0,2015-01,93814,male,Australia
1,2015-02,111173,male,Australia
2,2015-03,116438,male,Australia
3,2015-04,80176,male,Australia
4,2015-05,67945,male,Australia
5,2015-06,57283,male,Australia
6,2015-07,225983,male,Australia
7,2015-08,398734,male,Australia
8,2015-09,348700,male,Australia
9,2015-10,324690,male,Australia
10,2015-11,208049,male,Australia
11,2015-12,236379,male,Australia
0,2015-01,18798,female,Australia
1,2015-02,23047,female,Australia
2,2015-03,25839,female,Australia
3,2015-04,15182,female,Australia
4,2015-05,15263,female,Australia
5,2015-06,10534,female,Australia
6,2015-07,53804,female,Australia
7,2015-08,89263,female,Australia
8,2015-09,79854,female,Australia
9,2015-10,81000,female,Australia
10,2015-11,58315,female,Australia
11,2015-12,58873,female,Australia
0,2015-01,101149,male,Canada
1,2015-02,102314,male,Canada
2,2015-03,108845,male,Canada
3,2015-04,102458,male,Canada
4,2015-05,65602,male,Canada
5,2015-06,52269,male,Canada
6,2015-07,89755,male,Canada
7,2015-08,146260,male,Canada
8,2015-09,163039,male,Canada
9,2015-10,195534,male,Canada
