,date,numOccurrences,gender,sentiment,topic
0,2015-01,2416,male,negative,market
1,2015-02,2233,male,negative,market
2,2015-03,3016,male,negative,market
3,2015-04,2111,male,negative,market
4,2015-05,1363,male,negative,market
5,2015-06,1432,male,negative,market
6,2015-07,3259,male,negative,market
7,2015-08,6704,male,negative,market
8,2015-09,5311,male,negative,market
9,2015-10,4129,male,negative,market
10,2015-11,2819,male,negative,market
11,2015-12,3585,male,negative,market
0,2015-01,280,female,negative,market
1,2015-02,410,female,negative,market
2,2015-03,377,female,negative,market
3,2015-04,236,female,negative,market
4,2015-05,214,female,negative,market
5,2015-06,177,female,negative,market
6,2015-07,298,female,negative,market
7,2015-08,944,female,negative,market
8,2015-09,1203,female,negative,market
9,2015-10,1043,female,negative,market
10,2015-11,569,female,negative,market
11,2015-12,309,female,negative,market
0,2015-01,5861,male,neutral,market
1,2015-02,5576,male,neutral,market
2,2015-03,6389,male,neutral,market
3,2015-04,4445,male,neutral,market
4,2015-05,3331,male,neutral,market
5,2015-06,3159,male,neutral,market
6,2015-07,7458,male,neutral,market
7,2015-08,10552,male,neutral,market
8,2015-09,10462,male,neutral,market
9,2015-10,9853,male,neutral,market
10,2015-11,6988,male,neutral,market
11,2015-12,8539,male,neutral,market
0,2015-01,492,female,neutral,market
1,2015-02,681,female,neutral,market
2,2015-03,644,female,neutral,market
3,2015-04,975,female,neutral,market
4,2015-05,458,female,neutral,market
5,2015-06,381,female,neutral,market
6,2015-07,965,female,neutral,market
7,2015-08,1318,female,neutral,market
8,2015-09,1060,female,neutral,market
9,2015-10,1166,female,neutral,market
10,2015-11,924,female,neutral,market
11,2015-12,1784,female,neutral,market
0,2015-01,9566,male,positive,market
1,2015-02,7984,male,positive,market
2,2015-03,9242,male,positive,market
3,2015-04,7208,male,positive,market
4,2015-05,4324,male,positive,market
5,2015-06,3136,male,positive,market
6,2015-07,7131,male,positive,market
7,2015-08,10554,male,positive,market
8,2015-09,10899,male,positive,market
9,2015-10,11137,male,positive,market
10,2015-11,8746,male,positive,market
11,2015-12,8431,male,positive,market
0,2015-01,688,female,positive,market
1,2015-02,599,female,positive,market
2,2015-03,814,female,positive,market
3,2015-04,562,female,positive,market
4,2015-05,500,female,positive,market
5,2015-06,357,female,positive,market
6,2015-07,1153,female,positive,market
7,2015-08,907,female,positive,market
8,2015-09,1188,female,positive,market
9,2015-10,1256,female,positive,market
10,2015-11,945,female,positive,market
11,2015-12,1702,female,positive,market
