,date,numOccurrences,gender,sentiment,topic
0,2015-01,1940,male,negative,movie
1,2015-02,1396,male,negative,movie
2,2015-03,873,male,negative,movie
3,2015-04,667,male,negative,movie
4,2015-05,786,male,negative,movie
5,2015-06,1041,male,negative,movie
6,2015-07,1857,male,negative,movie
7,2015-08,2147,male,negative,movie
8,2015-09,2212,male,negative,movie
9,2015-10,2278,male,negative,movie
10,2015-11,1160,male,negative,movie
11,2015-12,2051,male,negative,movie
0,2015-01,616,female,negative,movie
1,2015-02,474,female,negative,movie
2,2015-03,126,female,negative,movie
3,2015-04,192,female,negative,movie
4,2015-05,235,female,negative,movie
5,2015-06,231,female,negative,movie
6,2015-07,291,female,negative,movie
7,2015-08,563,female,negative,movie
8,2015-09,561,female,negative,movie
9,2015-10,504,female,negative,movie
10,2015-11,511,female,negative,movie
11,2015-12,488,female,negative,movie
0,2015-01,3170,male,neutral,movie
1,2015-02,3167,male,neutral,movie
2,2015-03,2008,male,neutral,movie
3,2015-04,2123,male,neutral,movie
4,2015-05,1376,male,neutral,movie
5,2015-06,1164,male,neutral,movie
6,2015-07,3982,male,neutral,movie
7,2015-08,4114,male,neutral,movie
8,2015-09,5166,male,neutral,movie
9,2015-10,4539,male,neutral,movie
10,2015-11,3214,male,neutral,movie
11,2015-12,5539,male,neutral,movie
0,2015-01,909,female,neutral,movie
1,2015-02,604,female,neutral,movie
2,2015-03,427,female,neutral,movie
3,2015-04,263,female,neutral,movie
4,2015-05,748,female,neutral,movie
5,2015-06,152,female,neutral,movie
6,2015-07,683,female,neutral,movie
7,2015-08,1232,female,neutral,movie
8,2015-09,779,female,neutral,movie
9,2015-10,888,female,neutral,movie
10,2015-11,1024,female,neutral,movie
11,2015-12,1042,female,neutral,movie
0,2015-01,3324,male,positive,movie
1,2015-02,2339,male,positive,movie
2,2015-03,2225,male,positive,movie
3,2015-04,1819,male,positive,movie
4,2015-05,1084,male,positive,movie
5,2015-06,1176,male,positive,movie
6,2015-07,3746,male,positive,movie
7,2015-08,5473,male,positive,movie
8,2015-09,4809,male,positive,movie
9,2015-10,4232,male,positive,movie
10,2015-11,2578,male,positive,movie
11,2015-12,5491,male,positive,movie
0,2015-01,1351,female,positive,movie
1,2015-02,711,female,positive,movie
2,2015-03,658,female,positive,movie
3,2015-04,469,female,positive,movie
4,2015-05,394,female,positive,movie
5,2015-06,284,female,positive,movie
6,2015-07,840,female,positive,movie
7,2015-08,863,female,positive,movie
8,2015-09,929,female,positive,movie
9,2015-10,1343,female,positive,movie
10,2015-11,1003,female,positive,movie
11,2015-12,1348,female,positive,movie
0,2015-01,915,male,negative,music
1,2015-02,932,male,negative,music
2,2015-03,1341,male,negative,music
3,2015-04,690,male,negative,music
4,2015-05,382,male,negative,music
5,2015-06,705,male,negative,music
6,2015-07,1493,male,negative,music
7,2015-08,1085,male,negative,music
8,2015-09,1324,male,negative,music
9,2015-10,1323,male,negative,music
10,2015-11,1218,male,negative,music
11,2015-12,1252,male,negative,music
0,2015-01,134,female,negative,music
1,2015-02,304,female,negative,music
2,2015-03,237,female,negative,music
3,2015-04,258,female,negative,music
4,2015-05,84,female,negative,music
5,2015-06,528,female,negative,music
6,2015-07,183,female,negative,music
7,2015-08,235,female,negative,music
8,2015-09,331,female,negative,music
9,2015-10,471,female,negative,music
10,2015-11,376,female,negative,music
11,2015-12,450,female,negative,music
0,2015-01,3226,male,neutral,music
1,2015-02,3041,male,neutral,music
2,2015-03,3562,male,neutral,music
3,2015-04,2306,male,neutral,music
4,2015-05,1631,male,neutral,music
5,2015-06,2350,male,neutral,music
6,2015-07,3041,male,neutral,music
7,2015-08,4809,male,neutral,music
8,2015-09,3636,male,neutral,music
9,2015-10,5074,male,neutral,music
10,2015-11,3624,male,neutral,music
11,2015-12,4756,male,neutral,music
0,2015-01,829,female,neutral,music
1,2015-02,594,female,neutral,music
2,2015-03,822,female,neutral,music
3,2015-04,857,female,neutral,music
4,2015-05,424,female,neutral,music
5,2015-06,456,female,neutral,music
6,2015-07,659,female,neutral,music
7,2015-08,996,female,neutral,music
8,2015-09,1009,female,neutral,music
9,2015-10,1465,female,neutral,music
10,2015-11,645,female,neutral,music
11,2015-12,611,female,neutral,music
0,2015-01,4733,male,positive,music
1,2015-02,4366,male,positive,music
2,2015-03,5221,male,positive,music
3,2015-04,4171,male,positive,music
4,2015-05,3215,male,positive,music
5,2015-06,3368,male,positive,music
6,2015-07,4927,male,positive,music
7,2015-08,8624,male,positive,music
8,2015-09,7704,male,positive,music
9,2015-10,8608,male,positive,music
10,2015-11,5495,male,positive,music
11,2015-12,7144,male,positive,music
0,2015-01,962,female,positive,music
1,2015-02,1306,female,positive,music
2,2015-03,1525,female,positive,music
3,2015-04,1360,female,positive,music
4,2015-05,1206,female,positive,music
5,2015-06,796,female,positive,music
6,2015-07,1581,female,positive,music
7,2015-08,2419,female,positive,music
8,2015-09,2958,female,positive,music
9,2015-10,2363,female,positive,music
10,2015-11,1811,female,positive,music
11,2015-12,1864,female,positive,music
0,2015-01,318,male,negative,art
1,2015-02,408,male,negative,art
2,2015-03,381,male,negative,art
3,2015-04,312,male,negative,art
4,2015-05,148,male,negative,art
5,2015-06,295,male,negative,art
6,2015-07,525,male,negative,art
7,2015-08,349,male,negative,art
8,2015-09,432,male,negative,art
9,2015-10,739,male,negative,art
10,2015-11,413,male,negative,art
11,2015-12,450,male,negative,art
0,2015-01,79,female,negative,art
1,2015-02,122,female,negative,art
2,2015-03,89,female,negative,art
3,2015-04,188,female,negative,art
4,2015-05,77,female,negative,art
5,2015-06,57,female,negative,art
6,2015-07,152,female,negative,art
7,2015-08,96,female,negative,art
8,2015-09,241,female,negative,art
9,2015-10,175,female,negative,art
10,2015-11,79,female,negative,art
11,2015-12,90,female,negative,art
0,2015-01,1867,male,neutral,art
1,2015-02,4146,male,neutral,art
2,2015-03,1733,male,neutral,art
3,2015-04,1164,male,neutral,art
4,2015-05,975,male,neutral,art
5,2015-06,896,male,neutral,art
6,2015-07,1489,male,neutral,art
7,2015-08,2487,male,neutral,art
8,2015-09,2185,male,neutral,art
9,2015-10,2407,male,neutral,art
10,2015-11,1596,male,neutral,art
11,2015-12,2421,male,neutral,art
0,2015-01,303,female,neutral,art
1,2015-02,323,female,neutral,art
2,2015-03,517,female,neutral,art
3,2015-04,454,female,neutral,art
4,2015-05,342,female,neutral,art
5,2015-06,196,female,neutral,art
6,2015-07,556,female,neutral,art
7,2015-08,989,female,neutral,art
8,2015-09,663,female,neutral,art
9,2015-10,898,female,neutral,art
10,2015-11,464,female,neutral,art
11,2015-12,527,female,neutral,art
0,2015-01,1447,male,positive,art
1,2015-02,1846,male,positive,art
2,2015-03,2166,male,positive,art
3,2015-04,1336,male,positive,art
4,2015-05,1015,male,positive,art
5,2015-06,793,male,positive,art
6,2015-07,2142,male,positive,art
7,2015-08,2556,male,positive,art
8,2015-09,2730,male,positive,art
9,2015-10,2958,male,positive,art
10,2015-11,1993,male,positive,art
11,2015-12,2266,male,positive,art
0,2015-01,461,female,positive,art
1,2015-02,556,female,positive,art
2,2015-03,601,female,positive,art
3,2015-04,446,female,positive,art
4,2015-05,387,female,positive,art
5,2015-06,330,female,positive,art
6,2015-07,587,female,positive,art
7,2015-08,1139,female,positive,art
8,2015-09,1269,female,positive,art
9,2015-10,1129,female,positive,art
10,2015-11,760,female,positive,art
11,2015-12,1018,female,positive,art
0,2015-01,956,male,negative,book
1,2015-02,747,male,negative,book
2,2015-03,699,male,negative,book
3,2015-04,712,male,negative,book
4,2015-05,433,male,negative,book
5,2015-06,386,male,negative,book
6,2015-07,930,male,negative,book
7,2015-08,1190,male,negative,book
8,2015-09,1713,male,negative,book
9,2015-10,2398,male,negative,book
10,2015-11,1589,male,negative,book
11,2015-12,804,male,negative,book
0,2015-01,190,female,negative,book
1,2015-02,239,female,negative,book
2,2015-03,365,female,negative,book
3,2015-04,244,female,negative,book
4,2015-05,156,female,negative,book
5,2015-06,99,female,negative,book
6,2015-07,250,female,negative,book
7,2015-08,292,female,negative,book
8,2015-09,509,female,negative,book
9,2015-10,767,female,negative,book
10,2015-11,202,female,negative,book
11,2015-12,360,female,negative,book
0,2015-01,2099,male,neutral,book
1,2015-02,1870,male,neutral,book
2,2015-03,2192,male,neutral,book
3,2015-04,1708,male,neutral,book
4,2015-05,1198,male,neutral,book
5,2015-06,1130,male,neutral,book
6,2015-07,2765,male,neutral,book
7,2015-08,3511,male,neutral,book
8,2015-09,4671,male,neutral,book
9,2015-10,4581,male,neutral,book
10,2015-11,2919,male,neutral,book
11,2015-12,3390,male,neutral,book
0,2015-01,439,female,neutral,book
1,2015-02,1081,female,neutral,book
2,2015-03,682,female,neutral,book
3,2015-04,539,female,neutral,book
4,2015-05,346,female,neutral,book
5,2015-06,627,female,neutral,book
6,2015-07,1239,female,neutral,book
7,2015-08,1259,female,neutral,book
8,2015-09,1111,female,neutral,book
9,2015-10,1279,female,neutral,book
10,2015-11,802,female,neutral,book
11,2015-12,775,female,neutral,book
0,2015-01,1955,male,positive,book
1,2015-02,1513,male,positive,book
2,2015-03,1455,male,positive,book
3,2015-04,1199,male,positive,book
4,2015-05,671,male,positive,book
5,2015-06,653,male,positive,book
6,2015-07,1957,male,positive,book
7,2015-08,3312,male,positive,book
8,2015-09,2652,male,positive,book
9,2015-10,3781,male,positive,book
10,2015-11,1982,male,positive,book
11,2015-12,2424,male,positive,book
0,2015-01,656,female,positive,book
1,2015-02,819,female,positive,book
2,2015-03,542,female,positive,book
3,2015-04,509,female,positive,book
4,2015-05,282,female,positive,book
5,2015-06,248,female,positive,book
6,2015-07,787,female,positive,book
7,2015-08,976,female,positive,book
8,2015-09,1788,female,positive,book
9,2015-10,1474,female,positive,book
10,2015-11,746,female,positive,book
11,2015-12,900,female,positive,book
0,2015-01,893,male,negative,tv
1,2015-02,883,male,negative,tv
2,2015-03,1308,male,negative,tv
3,2015-04,683,male,negative,tv
4,2015-05,590,male,negative,tv
5,2015-06,539,male,negative,tv
6,2015-07,1704,male,negative,tv
7,2015-08,2214,male,negative,tv
8,2015-09,1421,male,negative,tv
9,2015-10,1964,male,negative,tv
10,2015-11,1179,male,negative,tv
11,2015-12,1203,male,negative,tv
0,2015-01,499,female,negative,tv
1,2015-02,230,female,negative,tv
2,2015-03,325,female,negative,tv
3,2015-04,236,female,negative,tv
4,2015-05,196,female,negative,tv
5,2015-06,112,female,negative,tv
6,2015-07,293,female,negative,tv
