,date,numOccurrences,gender,sentiment,topic
0,2015-01,74,male,negative,pets
1,2015-02,95,male,negative,pets
2,2015-03,54,male,negative,pets
3,2015-04,46,male,negative,pets
4,2015-05,190,male,negative,pets
5,2015-06,25,male,negative,pets
6,2015-07,281,male,negative,pets
7,2015-08,100,male,negative,pets
8,2015-09,73,male,negative,pets
9,2015-10,209,male,negative,pets
10,2015-11,58,male,negative,pets
11,2015-12,182,male,negative,pets
0,2015-01,58,female,negative,pets
1,2015-02,16,female,negative,pets
2,2015-03,20,female,negative,pets
3,2015-04,33,female,negative,pets
4,2015-05,3,female,negative,pets
5,2015-06,19,female,negative,pets
6,2015-07,29,female,negative,pets
7,2015-08,76,female,negative,pets
8,2015-09,71,female,negative,pets
9,2015-10,40,female,negative,pets
10,2015-11,26,female,negative,pets
11,2015-12,66,female,negative,pets
0,2015-01,52,male,neutral,pets
1,2015-02,57,male,neutral,pets
2,2015-03,143,male,neutral,pets
3,2015-04,34,male,neutral,pets
4,2015-05,44,male,neutral,pets
5,2015-06,34,male,neutral,pets
6,2015-07,150,male,neutral,pets
7,2015-08,130,male,neutral,pets
8,2015-09,66,male,neutral,pets
9,2015-10,81,male,neutral,pets
10,2015-11,64,male,neutral,pets
11,2015-12,142,male,neutral,pets
0,2015-01,58,female,neutral,pets
1,2015-02,23,female,neutral,pets
2,2015-03,12,female,neutral,pets
3,2015-04,21,female,neutral,pets
4,2015-05,13,female,neutral,pets
5,2015-06,33,female,neutral,pets
6,2015-07,22,female,neutral,pets
7,2015-08,37,female,neutral,pets
8,2015-09,21,female,neutral,pets
9,2015-10,43,female,neutral,pets
10,2015-11,24,female,neutral,pets
11,2015-12,54,female,neutral,pets
0,2015-01,113,male,positive,pets
1,2015-02,155,male,positive,pets
2,2015-03,106,male,positive,pets
3,2015-04,75,male,positive,pets
4,2015-05,63,male,positive,pets
5,2015-06,30,male,positive,pets
6,2015-07,43,male,positive,pets
7,2015-08,116,male,positive,pets
8,2015-09,135,male,positive,pets
9,2015-10,90,male,positive,pets
