,date,numOccurrences,gender,sentiment,topic
0,2015-01,3724,male,negative,football
1,2015-02,2779,male,negative,football
2,2015-03,2424,male,negative,football
3,2015-04,1327,male,negative,football
4,2015-05,3069,male,negative,football
5,2015-06,1064,male,negative,football
6,2015-07,2184,male,negative,football
7,2015-08,4441,male,negative,football
8,2015-09,5713,male,negative,football
9,2015-10,6501,male,negative,football
10,2015-11,4126,male,negative,football
11,2015-12,6004,male,negative,football
0,2015-01,84,female,negative,football
1,2015-02,142,female,negative,football
2,2015-03,97,female,negative,football
3,2015-04,25,female,negative,football
4,2015-05,48,female,negative,football
5,2015-06,73,female,negative,football
6,2015-07,88,female,negative,football
7,2015-08,180,female,negative,football
8,2015-09,226,female,negative,football
9,2015-10,225,female,negative,football
10,2015-11,72,female,negative,football
11,2015-12,166,female,negative,football
0,2015-01,6195,male,neutral,football
1,2015-02,3610,male,neutral,football
2,2015-03,3772,male,neutral,football
3,2015-04,2715,male,neutral,football
4,2015-05,3542,male,neutral,football
5,2015-06,1848,male,neutral,football
6,2015-07,5095,male,neutral,football
7,2015-08,10843,male,neutral,football
8,2015-09,10990,male,neutral,football
9,2015-10,11702,male,neutral,football
10,2015-11,9419,male,neutral,football
11,2015-12,10353,male,neutral,football
0,2015-01,215,female,neutral,football
1,2015-02,113,female,neutral,football
2,2015-03,93,female,neutral,football
3,2015-04,145,female,neutral,football
4,2015-05,114,female,neutral,football
5,2015-06,56,female,neutral,football
6,2015-07,88,female,neutral,football
7,2015-08,161,female,neutral,football
8,2015-09,493,female,neutral,football
9,2015-10,282,female,neutral,football
10,2015-11,184,female,neutral,football
11,2015-12,189,female,neutral,football
0,2015-01,10680,male,positive,football
1,2015-02,6755,male,positive,football
2,2015-03,5982,male,positive,football
3,2015-04,4744,male,positive,football
4,2015-05,3645,male,positive,football
5,2015-06,3063,male,positive,football
6,2015-07,8682,male,positive,football
7,2015-08,16613,male,positive,football
8,2015-09,17474,male,positive,football
9,2015-10,18741,male,positive,football
10,2015-11,15399,male,positive,football
11,2015-12,19541,male,positive,football
0,2015-01,174,female,positive,football
1,2015-02,132,female,positive,football
2,2015-03,143,female,positive,football
3,2015-04,95,female,positive,football
4,2015-05,73,female,positive,football
5,2015-06,194,female,positive,football
6,2015-07,233,female,positive,football
7,2015-08,277,female,positive,football
8,2015-09,238,female,positive,football
9,2015-10,274,female,positive,football
10,2015-11,276,female,positive,football
11,2015-12,290,female,positive,football
0,2015-01,811,male,negative,basketball
1,2015-02,814,male,negative,basketball
2,2015-03,1279,male,negative,basketball
3,2015-04,570,male,negative,basketball
4,2015-05,390,male,negative,basketball
5,2015-06,335,male,negative,basketball
6,2015-07,287,male,negative,basketball
7,2015-08,255,male,negative,basketball
8,2015-09,400,male,negative,basketball
9,2015-10,652,male,negative,basketball
10,2015-11,774,male,negative,basketball
11,2015-12,746,male,negative,basketball
0,2015-01,133,female,negative,basketball
1,2015-02,118,female,negative,basketball
2,2015-03,94,female,negative,basketball
3,2015-04,28,female,negative,basketball
4,2015-05,10,female,negative,basketball
5,2015-06,12,female,negative,basketball
6,2015-07,23,female,negative,basketball
7,2015-08,40,female,negative,basketball
8,2015-09,174,female,negative,basketball
9,2015-10,38,female,negative,basketball
10,2015-11,52,female,negative,basketball
11,2015-12,82,female,negative,basketball
0,2015-01,1393,male,neutral,basketball
1,2015-02,2029,male,neutral,basketball
2,2015-03,2465,male,neutral,basketball
3,2015-04,1336,male,neutral,basketball
4,2015-05,777,male,neutral,basketball
