,date,numOccurrences,gender,sentiment,topic
0,2015-01,1881,male,negative,vote
1,2015-02,2157,male,negative,vote
2,2015-03,2490,male,negative,vote
3,2015-04,1942,male,negative,vote
4,2015-05,1218,male,negative,vote
5,2015-06,1451,male,negative,vote
6,2015-07,2831,male,negative,vote
7,2015-08,3704,male,negative,vote
8,2015-09,5371,male,negative,vote
9,2015-10,3693,male,negative,vote
10,2015-11,2695,male,negative,vote
11,2015-12,2618,male,negative,vote
0,2015-01,257,female,negative,vote
1,2015-02,249,female,negative,vote
2,2015-03,484,female,negative,vote
3,2015-04,2335,female,negative,vote
4,2015-05,232,female,negative,vote
5,2015-06,347,female,negative,vote
6,2015-07,498,female,negative,vote
7,2015-08,581,female,negative,vote
8,2015-09,605,female,negative,vote
9,2015-10,1022,female,negative,vote
10,2015-11,506,female,negative,vote
11,2015-12,890,female,negative,vote
0,2015-01,3332,male,neutral,vote
1,2015-02,3110,male,neutral,vote
2,2015-03,3908,male,neutral,vote
3,2015-04,2644,male,neutral,vote
4,2015-05,2582,male,neutral,vote
5,2015-06,1795,male,neutral,vote
6,2015-07,4479,male,neutral,vote
7,2015-08,6394,male,neutral,vote
8,2015-09,10041,male,neutral,vote
9,2015-10,7753,male,neutral,vote
10,2015-11,3496,male,neutral,vote
11,2015-12,4767,male,neutral,vote
0,2015-01,374,female,neutral,vote
1,2015-02,592,female,neutral,vote
2,2015-03,610,female,neutral,vote
3,2015-04,839,female,neutral,vote
4,2015-05,435,female,neutral,vote
5,2015-06,344,female,neutral,vote
6,2015-07,757,female,neutral,vote
7,2015-08,852,female,neutral,vote
8,2015-09,1177,female,neutral,vote
9,2015-10,1229,female,neutral,vote
10,2015-11,884,female,neutral,vote
11,2015-12,585,female,neutral,vote
0,2015-01,866,male,positive,vote
1,2015-02,1192,male,positive,vote
2,2015-03,1043,male,positive,vote
3,2015-04,986,male,positive,vote
4,2015-05,1158,male,positive,vote
5,2015-06,598,male,positive,vote
6,2015-07,1322,male,positive,vote
7,2015-08,1625,male,positive,vote
8,2015-09,1460,male,positive,vote
9,2015-10,2230,male,positive,vote
10,2015-11,1458,male,positive,vote
11,2015-12,1564,male,positive,vote
0,2015-01,179,female,positive,vote
1,2015-02,456,female,positive,vote
2,2015-03,314,female,positive,vote
3,2015-04,697,female,positive,vote
4,2015-05,214,female,positive,vote
5,2015-06,65,female,positive,vote
6,2015-07,244,female,positive,vote
