,date,numOccurrences,gender,sentiment,topic
0,2015-01,3035,male,negative,school
1,2015-02,3384,male,negative,school
2,2015-03,4026,male,negative,school
3,2015-04,2107,male,negative,school
4,2015-05,1329,male,negative,school
5,2015-06,1734,male,negative,school
6,2015-07,3722,male,negative,school
7,2015-08,5028,male,negative,school
8,2015-09,5665,male,negative,school
9,2015-10,5699,male,negative,school
10,2015-11,3525,male,negative,school
11,2015-12,5561,male,negative,school
0,2015-01,629,female,negative,school
1,2015-02,835,female,negative,school
2,2015-03,1049,female,negative,school
3,2015-04,940,female,negative,school
4,2015-05,591,female,negative,school
5,2015-06,496,female,negative,school
6,2015-07,701,female,negative,school
7,2015-08,1725,female,negative,school
8,2015-09,1632,female,negative,school
9,2015-10,2017,female,negative,school
10,2015-11,1325,female,negative,school
11,2015-12,1771,female,negative,school
0,2015-01,4972,male,neutral,school
1,2015-02,5079,male,neutral,school
2,2015-03,5399,male,neutral,school
3,2015-04,3964,male,neutral,school
4,2015-05,2815,male,neutral,school
5,2015-06,2611,male,neutral,school
6,2015-07,5929,male,neutral,school
7,2015-08,8936,male,neutral,school
8,2015-09,8606,male,neutral,school
9,2015-10,9540,male,neutral,school
10,2015-11,6216,male,neutral,school
11,2015-12,7714,male,neutral,school
0,2015-01,1162,female,neutral,school
1,2015-02,1322,female,neutral,school
2,2015-03,1354,female,neutral,school
3,2015-04,1290,female,neutral,school
4,2015-05,710,female,neutral,school
5,2015-06,614,female,neutral,school
6,2015-07,1352,female,neutral,school
7,2015-08,2230,female,neutral,school
8,2015-09,2679,female,neutral,school
9,2015-10,2623,female,neutral,school
10,2015-11,1542,female,neutral,school
11,2015-12,2359,female,neutral,school
0,2015-01,4814,male,positive,school
1,2015-02,4330,male,positive,school
2,2015-03,4525,male,positive,school
3,2015-04,3579,male,positive,school
4,2015-05,2185,male,positive,school
5,2015-06,2022,male,positive,school
6,2015-07,4929,male,positive,school
7,2015-08,8775,male,positive,school
8,2015-09,7826,male,positive,school
9,2015-10,9272,male,positive,school
10,2015-11,5762,male,positive,school
11,2015-12,6581,male,positive,school
0,2015-01,1039,female,positive,school
1,2015-02,1161,female,positive,school
2,2015-03,1320,female,positive,school
3,2015-04,1007,female,positive,school
4,2015-05,999,female,positive,school
5,2015-06,574,female,positive,school
6,2015-07,1363,female,positive,school
7,2015-08,2131,female,positive,school
8,2015-09,2341,female,positive,school
9,2015-10,2307,female,positive,school
10,2015-11,1619,female,positive,school
11,2015-12,1821,female,positive,school
0,2015-01,1672,male,negative,education
1,2015-02,1861,male,negative,education
2,2015-03,1975,male,negative,education
3,2015-04,1148,male,negative,education
4,2015-05,929,male,negative,education
5,2015-06,795,male,negative,education
6,2015-07,1327,male,negative,education
7,2015-08,2325,male,negative,education
8,2015-09,3322,male,negative,education
9,2015-10,2909,male,negative,education
10,2015-11,1676,male,negative,education
11,2015-12,2121,male,negative,education
0,2015-01,539,female,negative,education
1,2015-02,401,female,negative,education
2,2015-03,425,female,negative,education
3,2015-04,623,female,negative,education
4,2015-05,253,female,negative,education
5,2015-06,376,female,negative,education
6,2015-07,370,female,negative,education
7,2015-08,711,female,negative,education
8,2015-09,731,female,negative,education
9,2015-10,674,female,negative,education
10,2015-11,892,female,negative,education
11,2015-12,755,female,negative,education
0,2015-01,2558,male,neutral,education
1,2015-02,2805,male,neutral,education
2,2015-03,2634,male,neutral,education
3,2015-04,2198,male,neutral,education
4,2015-05,1233,male,neutral,education
5,2015-06,1132,male,neutral,education
6,2015-07,2421,male,neutral,education
7,2015-08,4835,male,neutral,education
8,2015-09,5010,male,neutral,education
9,2015-10,5520,male,neutral,education
10,2015-11,3250,male,neutral,education
11,2015-12,3299,male,neutral,education
0,2015-01,630,female,neutral,education
1,2015-02,616,female,neutral,education
2,2015-03,696,female,neutral,education
3,2015-04,728,female,neutral,education
4,2015-05,365,female,neutral,education
5,2015-06,390,female,neutral,education
6,2015-07,611,female,neutral,education
7,2015-08,1187,female,neutral,education
8,2015-09,1634,female,neutral,education
9,2015-10,1383,female,neutral,education
10,2015-11,735,female,neutral,education
11,2015-12,939,female,neutral,education
0,2015-01,4159,male,positive,education
1,2015-02,3366,male,positive,education
2,2015-03,3422,male,positive,education
3,2015-04,2894,male,positive,education
4,2015-05,1488,male,positive,education
5,2015-06,1159,male,positive,education
6,2015-07,2967,male,positive,education
7,2015-08,5349,male,positive,education
8,2015-09,6213,male,positive,education
9,2015-10,5414,male,positive,education
10,2015-11,3653,male,positive,education
11,2015-12,4637,male,positive,education
0,2015-01,950,female,positive,education
1,2015-02,720,female,positive,education
2,2015-03,1278,female,positive,education
3,2015-04,692,female,positive,education
4,2015-05,459,female,positive,education
5,2015-06,370,female,positive,education
6,2015-07,870,female,positive,education
7,2015-08,1487,female,positive,education
8,2015-09,2159,female,positive,education
9,2015-10,1538,female,positive,education
10,2015-11,1042,female,positive,education
11,2015-12,1655,female,positive,education
0,2015-01,636,male,negative,student
1,2015-02,763,male,negative,student
2,2015-03,1282,male,negative,student
3,2015-04,772,male,negative,student
4,2015-05,365,male,negative,student
5,2015-06,261,male,negative,student
6,2015-07,801,male,negative,student
7,2015-08,1695,male,negative,student
8,2015-09,1338,male,negative,student
9,2015-10,2009,male,negative,student
10,2015-11,951,male,negative,student
11,2015-12,1353,male,negative,student
0,2015-01,130,female,negative,student
1,2015-02,209,female,negative,student
2,2015-03,187,female,negative,student
3,2015-04,153,female,negative,student
4,2015-05,98,female,negative,student
5,2015-06,77,female,negative,student
6,2015-07,192,female,negative,student
7,2015-08,242,female,negative,student
8,2015-09,342,female,negative,student
9,2015-10,353,female,negative,student
10,2015-11,402,female,negative,student
11,2015-12,530,female,negative,student
0,2015-01,1317,male,neutral,student
1,2015-02,1079,male,neutral,student
2,2015-03,2091,male,neutral,student
3,2015-04,808,male,neutral,student
4,2015-05,574,male,neutral,student
5,2015-06,464,male,neutral,student
6,2015-07,960,male,neutral,student
7,2015-08,2562,male,neutral,student
8,2015-09,2026,male,neutral,student
9,2015-10,2406,male,neutral,student
10,2015-11,1854,male,neutral,student
11,2015-12,1562,male,neutral,student
0,2015-01,241,female,neutral,student
1,2015-02,239,female,neutral,student
2,2015-03,246,female,neutral,student
3,2015-04,239,female,neutral,student
4,2015-05,129,female,neutral,student
5,2015-06,146,female,neutral,student
6,2015-07,250,female,neutral,student
7,2015-08,502,female,neutral,student
8,2015-09,464,female,neutral,student
9,2015-10,565,female,neutral,student
10,2015-11,419,female,neutral,student
11,2015-12,277,female,neutral,student
0,2015-01,1845,male,positive,student
1,2015-02,1387,male,positive,student
2,2015-03,1836,male,positive,student
3,2015-04,1393,male,positive,student
4,2015-05,864,male,positive,student
5,2015-06,656,male,positive,student
6,2015-07,1318,male,positive,student
7,2015-08,2541,male,positive,student
8,2015-09,2221,male,positive,student
9,2015-10,3123,male,positive,student
10,2015-11,2262,male,positive,student
11,2015-12,3565,male,positive,student
0,2015-01,247,female,positive,student
1,2015-02,263,female,positive,student
2,2015-03,301,female,positive,student
3,2015-04,272,female,positive,student
4,2015-05,162,female,positive,student
5,2015-06,125,female,positive,student
6,2015-07,214,female,positive,student
7,2015-08,483,female,positive,student
8,2015-09,451,female,positive,student
9,2015-10,399,female,positive,student
10,2015-11,500,female,positive,student
11,2015-12,561,female,positive,student
0,2015-01,322,male,negative,teacher
1,2015-02,313,male,negative,teacher
2,2015-03,368,male,negative,teacher
3,2015-04,210,male,negative,teacher
4,2015-05,124,male,negative,teacher
5,2015-06,151,male,negative,teacher
6,2015-07,320,male,negative,teacher
7,2015-08,490,male,negative,teacher
8,2015-09,1113,male,negative,teacher
9,2015-10,558,male,negative,teacher
10,2015-11,558,male,negative,teacher
11,2015-12,367,male,negative,teacher
0,2015-01,85,female,negative,teacher
1,2015-02,71,female,negative,teacher
2,2015-03,77,female,negative,teacher
3,2015-04,137,female,negative,teacher
4,2015-05,173,female,negative,teacher
5,2015-06,38,female,negative,teacher
6,2015-07,122,female,negative,teacher
7,2015-08,75,female,negative,teacher
8,2015-09,287,female,negative,teacher
9,2015-10,264,female,negative,teacher
10,2015-11,83,female,negative,teacher
11,2015-12,62,female,negative,teacher
0,2015-01,524,male,neutral,teacher
1,2015-02,499,male,neutral,teacher
2,2015-03,539,male,neutral,teacher
3,2015-04,321,male,neutral,teacher
4,2015-05,230,male,neutral,teacher
5,2015-06,214,male,neutral,teacher
6,2015-07,468,male,neutral,teacher
7,2015-08,997,male,neutral,teacher
8,2015-09,932,male,neutral,teacher
9,2015-10,821,male,neutral,teacher
10,2015-11,464,male,neutral,teacher
11,2015-12,738,male,neutral,teacher
0,2015-01,98,female,neutral,teacher
1,2015-02,151,female,neutral,teacher
2,2015-03,174,female,neutral,teacher
3,2015-04,119,female,neutral,teacher
4,2015-05,63,female,neutral,teacher
5,2015-06,58,female,neutral,teacher
6,2015-07,155,female,neutral,teacher
7,2015-08,434,female,neutral,teacher
8,2015-09,439,female,neutral,teacher
9,2015-10,252,female,neutral,teacher
10,2015-11,136,female,neutral,teacher
11,2015-12,399,female,neutral,teacher
0,2015-01,578,male,positive,teacher
1,2015-02,960,male,positive,teacher
2,2015-03,501,male,positive,teacher
3,2015-04,449,male,positive,teacher
4,2015-05,304,male,positive,teacher
5,2015-06,312,male,positive,teacher
6,2015-07,456,male,positive,teacher
7,2015-08,773,male,positive,teacher
8,2015-09,886,male,positive,teacher
9,2015-10,730,male,positive,teacher
10,2015-11,429,male,positive,teacher
11,2015-12,868,male,positive,teacher
0,2015-01,115,female,positive,teacher
1,2015-02,108,female,positive,teacher
2,2015-03,272,female,positive,teacher
3,2015-04,106,female,positive,teacher
4,2015-05,113,female,positive,teacher
5,2015-06,81,female,positive,teacher
6,2015-07,136,female,positive,teacher
7,2015-08,207,female,positive,teacher
8,2015-09,342,female,positive,teacher
9,2015-10,236,female,positive,teacher
10,2015-11,248,female,positive,teacher
11,2015-12,153,female,positive,teacher
0,2015-01,106,male,negative,Tuition
1,2015-02,84,male,negative,Tuition
2,2015-03,146,male,negative,Tuition
3,2015-04,104,male,negative,Tuition
4,2015-05,138,male,negative,Tuition
5,2015-06,65,male,negative,Tuition
6,2015-07,104,male,negative,Tuition
7,2015-08,127,male,negative,Tuition
8,2015-09,81,male,negative,Tuition
9,2015-10,191,male,negative,Tuition
10,2015-11,56,male,negative,Tuition
11,2015-12,56,male,negative,Tuition
0,2015-01,23,female,negative,Tuition
1,2015-02,32,female,negative,Tuition
2,2015-03,23,female,negative,Tuition
3,2015-04,53,female,negative,Tuition
4,2015-05,7,female,negative,Tuition
5,2015-06,17,female,negative,Tuition
6,2015-07,73,female,negative,Tuition
7,2015-08,36,female,negative,Tuition
8,2015-09,28,female,negative,Tuition
9,2015-10,38,female,negative,Tuition
10,2015-11,14,female,negative,Tuition
11,2015-12,21,female,negative,Tuition
0,2015-01,159,male,neutral,Tuition
1,2015-02,124,male,neutral,Tuition
2,2015-03,335,male,neutral,Tuition
3,2015-04,215,male,neutral,Tuition
4,2015-05,84,male,neutral,Tuition
5,2015-06,46,male,neutral,Tuition
6,2015-07,84,male,neutral,Tuition
7,2015-08,369,male,neutral,Tuition
8,2015-09,180,male,neutral,Tuition
9,2015-10,311,male,neutral,Tuition
10,2015-11,130,male,neutral,Tuition
11,2015-12,207,male,neutral,Tuition
0,2015-01,39,female,neutral,Tuition
1,2015-02,57,female,neutral,Tuition
2,2015-03,55,female,neutral,Tuition
3,2015-04,54,female,neutral,Tuition
4,2015-05,14,female,neutral,Tuition
5,2015-06,30,female,neutral,Tuition
6,2015-07,39,female,neutral,Tuition
7,2015-08,54,female,neutral,Tuition
8,2015-09,39,female,neutral,Tuition
9,2015-10,524,female,neutral,Tuition
10,2015-11,22,female,neutral,Tuition
11,2015-12,24,female,neutral,Tuition
0,2015-01,126,male,positive,Tuition
1,2015-02,63,male,positive,Tuition
2,2015-03,71,male,positive,Tuition
3,2015-04,128,male,positive,Tuition
4,2015-05,34,male,positive,Tuition
5,2015-06,42,male,positive,Tuition
6,2015-07,80,male,positive,Tuition
7,2015-08,106,male,positive,Tuition
8,2015-09,42,male,positive,Tuition
9,2015-10,80,male,positive,Tuition
10,2015-11,53,male,positive,Tuition
11,2015-12,70,male,positive,Tuition
0,2015-01,142,female,positive,Tuition
1,2015-02,32,female,positive,Tuition
2,2015-03,16,female,positive,Tuition
3,2015-04,13,female,positive,Tuition
4,2015-05,7,female,positive,Tuition
5,2015-06,16,female,positive,Tuition
6,2015-07,13,female,positive,Tuition
7,2015-08,20,female,positive,Tuition
8,2015-09,50,female,positive,Tuition
9,2015-10,168,female,positive,Tuition
10,2015-11,14,female,positive,Tuition
11,2015-12,4,female,positive,Tuition
0,2016-01,49,male,negative,school
1,2016-02,2509,male,negative,school
2,2016-03,26,male,negative,school
3,2016-04,1920,male,negative,school
4,2016-05,6068,male,negative,school
5,2016-06,94,male,negative,school
6,2016-07,3867,male,negative,school
7,2016-08,5055,male,negative,school
8,2016-09,6290,male,negative,school
9,2016-10,13,male,negative,school
10,2016-11,145,male,negative,school
11,2016-12,4367,male,negative,school
0,2016-01,15,female,negative,school
1,2016-02,583,female,negative,school
2,2016-03,13,female,negative,school
3,2016-04,726,female,negative,school
4,2016-05,2171,female,negative,school
5,2016-06,30,female,negative,school
6,2016-07,1269,female,negative,school
7,2016-08,1584,female,negative,school
8,2016-09,2051,female,negative,school
9,2016-10,7,female,negative,school
10,2016-11,30,female,negative,school
11,2016-12,1047,female,negative,school
0,2016-01,235,male,neutral,school
1,2016-02,3987,male,neutral,school
2,2016-03,62,male,neutral,school
3,2016-04,3312,male,neutral,school
4,2016-05,10723,male,neutral,school
5,2016-06,206,male,neutral,school
6,2016-07,9024,male,neutral,school
7,2016-08,9315,male,neutral,school
8,2016-09,10071,male,neutral,school
9,2016-10,36,male,neutral,school
10,2016-11,121,male,neutral,school
11,2016-12,7857,male,neutral,school
0,2016-01,24,female,neutral,school
1,2016-02,1006,female,neutral,school
2,2016-03,14,female,neutral,school
3,2016-04,1221,female,neutral,school
4,2016-05,2905,female,neutral,school
5,2016-06,36,female,neutral,school
6,2016-07,2236,female,neutral,school
7,2016-08,2785,female,neutral,school
8,2016-09,3057,female,neutral,school
9,2016-10,14,female,neutral,school
10,2016-11,43,female,neutral,school
11,2016-12,1473,female,neutral,school
0,2016-01,93,male,positive,school
1,2016-02,3229,male,positive,school
2,2016-03,24,male,positive,school
3,2016-04,3196,male,positive,school
4,2016-05,8318,male,positive,school
5,2016-06,105,male,positive,school
6,2016-07,6297,male,positive,school
7,2016-08,8260,male,positive,school
8,2016-09,7525,male,positive,school
9,2016-10,43,male,positive,school
10,2016-11,97,male,positive,school
11,2016-12,7296,male,positive,school
0,2016-01,34,female,positive,school
1,2016-02,1081,female,positive,school
2,2016-03,8,female,positive,school
3,2016-04,905,female,positive,school
4,2016-05,2442,female,positive,school
5,2016-06,18,female,positive,school
6,2016-07,1734,female,positive,school
7,2016-08,3116,female,positive,school
8,2016-09,2826,female,positive,school
9,2016-10,25,female,positive,school
10,2016-11,86,female,positive,school
11,2016-12,2253,female,positive,school
0,2016-01,32,male,negative,education
1,2016-02,1479,male,negative,education
2,2016-03,15,male,negative,education
3,2016-04,1374,male,negative,education
4,2016-05,2860,male,negative,education
5,2016-06,58,male,negative,education
6,2016-07,1762,male,negative,education
7,2016-08,2851,male,negative,education
8,2016-09,3335,male,negative,education
9,2016-10,13,male,negative,education
10,2016-11,64,male,negative,education
11,2016-12,2442,male,negative,education
0,2016-01,4,female,negative,education
1,2016-02,282,female,negative,education
2,2016-03,3,female,negative,education
3,2016-04,378,female,negative,education
4,2016-05,1614,female,negative,education
5,2016-06,17,female,negative,education
6,2016-07,887,female,negative,education
7,2016-08,668,female,negative,education
8,2016-09,1099,female,negative,education
9,2016-10,8,female,negative,education
10,2016-11,56,female,negative,education
11,2016-12,823,female,negative,education
