,date,numOccurrences,gender,domains
0,2015-01,8238,male,nytimes
1,2015-02,14383,male,nytimes
2,2015-03,23658,male,nytimes
3,2015-04,9026,male,nytimes
4,2015-05,4947,male,nytimes
5,2015-06,21587,male,nytimes
6,2015-07,28828,male,nytimes
7,2015-08,20963,male,nytimes
8,2015-09,17116,male,nytimes
9,2015-10,14747,male,nytimes
10,2015-11,17197,male,nytimes
11,2015-12,47658,male,nytimes
0,2015-01,4322,female,nytimes
1,2015-02,14400,female,nytimes
2,2015-03,2850,female,nytimes
3,2015-04,3361,female,nytimes
4,2015-05,1873,female,nytimes
5,2015-06,1930,female,nytimes
6,2015-07,3214,female,nytimes
7,2015-08,11273,female,nytimes
8,2015-09,7663,female,nytimes
9,2015-10,7544,female,nytimes
10,2015-11,4609,female,nytimes
11,2015-12,4471,female,nytimes
0,2015-01,67177,male,cnn
1,2015-02,84030,male,cnn
2,2015-03,95726,male,cnn
3,2015-04,63565,male,cnn
4,2015-05,48141,male,cnn
5,2015-06,62745,male,cnn
6,2015-07,118961,male,cnn
7,2015-08,120909,male,cnn
8,2015-09,129444,male,cnn
9,2015-10,123728,male,cnn
10,2015-11,99809,male,cnn
11,2015-12,152369,male,cnn
0,2015-01,14500,female,cnn
1,2015-02,28257,female,cnn
2,2015-03,19156,female,cnn
3,2015-04,18737,female,cnn
4,2015-05,13499,female,cnn
5,2015-06,14263,female,cnn
6,2015-07,22558,female,cnn
7,2015-08,34851,female,cnn
8,2015-09,39720,female,cnn
9,2015-10,28173,female,cnn
10,2015-11,16022,female,cnn
11,2015-12,28835,female,cnn
0,2015-01,196844,male,foxnews
1,2015-02,196071,male,foxnews
2,2015-03,220255,male,foxnews
3,2015-04,161033,male,foxnews
4,2015-05,115728,male,foxnews
5,2015-06,99013,male,foxnews
6,2015-07,173595,male,foxnews
7,2015-08,229988,male,foxnews
8,2015-09,201617,male,foxnews
9,2015-10,168472,male,foxnews
10,2015-11,175412,male,foxnews
11,2015-12,203375,male,foxnews
