,date,numOccurrences,gender,nationality
0,2015-01,1155652,male,United States of America
1,2015-02,1058107,male,United States of America
2,2015-03,1322687,male,United States of America
3,2015-04,998067,male,United States of America
4,2015-05,705691,male,United States of America
5,2015-06,672701,male,United States of America
6,2015-07,1368958,male,United States of America
7,2015-08,2012391,male,United States of America
8,2015-09,1870841,male,United States of America
9,2015-10,1958242,male,United States of America
10,2015-11,1400491,male,United States of America
11,2015-12,1830506,male,United States of America
0,2015-01,238548,female,United States of America
1,2015-02,237353,female,United States of America
2,2015-03,256633,female,United States of America
3,2015-04,215063,female,United States of America
4,2015-05,149431,female,United States of America
5,2015-06,151273,female,United States of America
6,2015-07,277846,female,United States of America
7,2015-08,402245,female,United States of America
8,2015-09,423804,female,United States of America
9,2015-10,406257,female,United States of America
10,2015-11,273976,female,United States of America
11,2015-12,340608,female,United States of America
0,2015-01,257468,male,United Kingdom
1,2015-02,267635,male,United Kingdom
2,2015-03,292895,male,United Kingdom
3,2015-04,221496,male,United Kingdom
4,2015-05,166405,male,United Kingdom
5,2015-06,130650,male,United Kingdom
6,2015-07,327458,male,United Kingdom
7,2015-08,513651,male,United Kingdom
8,2015-09,510646,male,United Kingdom
9,2015-10,533379,male,United Kingdom
10,2015-11,375420,male,United Kingdom
11,2015-12,435435,male,United Kingdom
0,2015-01,36876,female,United Kingdom
1,2015-02,39114,female,United Kingdom
2,2015-03,46753,female,United Kingdom
3,2015-04,30635,female,United Kingdom
4,2015-05,23540,female,United Kingdom
5,2015-06,20705,female,United Kingdom
6,2015-07,58033,female,United Kingdom
7,2015-08,83243,female,United Kingdom
8,2015-09,87149,female,United Kingdom
9,2015-10,92861,female,United Kingdom
10,2015-11,61916,female,United Kingdom
11,2015-12,70461,female,United Kingdom
0,2015-01,93818,male,Australia
1,2015-02,111175,male,Australia
2,2015-03,116438,male,Australia
3,2015-04,80176,male,Australia
4,2015-05,67948,male,Australia
5,2015-06,57289,male,Australia
6,2015-07,225985,male,Australia
7,2015-08,398784,male,Australia
8,2015-09,348712,male,Australia
9,2015-10,324697,male,Australia
10,2015-11,208055,male,Australia
11,2015-12,236383,male,Australia
0,2015-01,18804,female,Australia
1,2015-02,23047,female,Australia
2,2015-03,25839,female,Australia
3,2015-04,15182,female,Australia
4,2015-05,15263,female,Australia
5,2015-06,10534,female,Australia
6,2015-07,53805,female,Australia
7,2015-08,89264,female,Australia
8,2015-09,79854,female,Australia
9,2015-10,81000,female,Australia
10,2015-11,58315,female,Australia
11,2015-12,58874,female,Australia
0,2015-01,101297,male,Canada
1,2015-02,102352,male,Canada
2,2015-03,108875,male,Canada
3,2015-04,102500,male,Canada
4,2015-05,65635,male,Canada
5,2015-06,52279,male,Canada
6,2015-07,89761,male,Canada
7,2015-08,146275,male,Canada
8,2015-09,163047,male,Canada
9,2015-10,195551,male,Canada
10,2015-11,144075,male,Canada
11,2015-12,161622,male,Canada
0,2015-01,16993,female,Canada
1,2015-02,17006,female,Canada
2,2015-03,16572,female,Canada
3,2015-04,13256,female,Canada
4,2015-05,10873,female,Canada
5,2015-06,9477,female,Canada
6,2015-07,27875,female,Canada
7,2015-08,30788,female,Canada
8,2015-09,55573,female,Canada
9,2015-10,33517,female,Canada
10,2015-11,24944,female,Canada
11,2015-12,31175,female,Canada
0,2015-01,64386,male,India
1,2015-02,76454,male,India
2,2015-03,72845,male,India
3,2015-04,61371,male,India
4,2015-05,41384,male,India
5,2015-06,35847,male,India
6,2015-07,67826,male,India
7,2015-08,97709,male,India
8,2015-09,95368,male,India
9,2015-10,102810,male,India
10,2015-11,81175,male,India
11,2015-12,100230,male,India
0,2015-01,11159,female,India
1,2015-02,10402,female,India
2,2015-03,10963,female,India
3,2015-04,8091,female,India
4,2015-05,5232,female,India
5,2015-06,4533,female,India
6,2015-07,10197,female,India
7,2015-08,18376,female,India
8,2015-09,14953,female,India
9,2015-10,14721,female,India
10,2015-11,10726,female,India
11,2015-12,16072,female,India
0,2015-01,2461391,male,Total
1,2015-02,2369517,male,Total
2,2015-03,2768182,male,Total
3,2015-04,2109868,male,Total
4,2015-05,1512046,male,Total
5,2015-06,1353895,male,Total
6,2015-07,3010352,male,Total
7,2015-08,4468006,male,Total
8,2015-09,4480088,male,Total
9,2015-10,4454552,male,Total
10,2015-11,3274323,male,Total
11,2015-12,3909785,male,Total
0,2015-01,448895,female,Total
1,2015-02,453936,female,Total
2,2015-03,493848,female,Total
3,2015-04,389817,female,Total
4,2015-05,284222,female,Total
5,2015-06,261428,female,Total
6,2015-07,587529,female,Total
7,2015-08,835714,female,Total
8,2015-09,898144,female,Total
9,2015-10,835962,female,Total
10,2015-11,600298,female,Total
11,2015-12,705028,female,Total
0,2016-01,31702,male,United States of America
1,2016-02,904996,male,United States of America
2,2016-03,21744,male,United States of America
3,2016-04,987698,male,United States of America
4,2016-05,1981926,male,United States of America
5,2016-06,59098,male,United States of America
6,2016-07,2355466,male,United States of America
7,2016-08,2148325,male,United States of America
8,2016-09,2520182,male,United States of America
9,2016-10,18584,male,United States of America
10,2016-11,89329,male,United States of America
11,2016-12,1949767,male,United States of America
0,2016-01,10335,female,United States of America
